ProductName,Price,Rate,Review,Summary
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Excellent,A goo show case thanks to Flipkart
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Perfect product!,Awesome
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,1,Terrible product,Don't bay this one.
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Great product,Excellent
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Perfect product!,Excellent product..... Fully satisfied
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Excellent,excellent product.i m happy to have this product.my drawing room become more beautiful by this.thanks to flipkart
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Great product,excellent product.look and quality is good.
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Really Nice,Except the height of the unit everything looks good
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,3,Just okay,Fine
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Terrific purchase,Good
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Worth the money,good product
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Worth the money,Good product
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Terrific purchase,good product I love it
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Mind-blowing purchase,good product.
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Wonderful,good product...good service... best overall
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Awesome,Good quality and good installation thanks a lot.........
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Terrific purchase,Highly recommended product as it’s very nice and looks good.... worth for the money..
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,1,Unsatisfactory,Horrible no installation yet date all my money goes wested please don't buy this product
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Terrific,I m highly satisfied with A to Z service must buy ....
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Value-for-money,I want installation fast
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Classy product,"installation was done on same day by Jeeves (Thanigaivel M - M24819), the package was delivered. Good Job."
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Value-for-money,it's good ..for installation i had to wait for some days...but finally Jeeves Engineer completed the installation. thanks.
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Awesome,it's superb product nice quality suits up to 50inch tv
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Good quality product,"Its very nice product, regional price, but height small disappointed"
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Pretty good,"it's worth, value for money"
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Pretty good,looks good..but quality not upto the mark..the bottom doors starts hanging downwards
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,1,Hated it!,material is not good
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Good choice,Nice
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Simply awesome,Nice
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Simply awesome,nice 👍
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Value-for-money,Nice product
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Highly recommended,Nice product and installation also
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Wonderful,Nice product 👍.
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Wonderful,"Nice product indeed 👌 within the short period it has been solved the matter of installation by the expert, thanks 👍 Flipkart for organizing the matter well in time 💞"
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Really Nice,Nice product.
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Excellent,nice product. should be fine for 3 to 4 year s
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Fabulous!,Nice product...
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Value-for-money,No 1 cabinet 👌🏻
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Simply awesome,Perfect. Just as expected.
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Must buy!,Product is excellent ... The best part is installation ...very prompt and the installation guy Abhishek Debnath is Superb skilled & very knowledgeable.
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Worth the money,product is good but price is little high
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Really Nice,"product is good quality, Jeeves service engineer contact number please update I also struggled"
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Great product,Product was delivered on promised date. But the surprise was the call from Jeevs within 5 hours. Installation was done on the same day with professionalism. Product is good for the price (10k} and looks just like the images. Probably one missing feature is a hole behind the middle unit to pass the cables.
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Perfect product!,Review after use of 10 days : Absolutely satisfied with the product. It’s a good deal !
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Mind-blowing purchase,simple n awesome at tat budget
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,4,Nice product,special thanks to flipkart for before time delivery and hastlefree installation. regarding the product i aur say you can't expect anything better than dis in this price bracket ..  got it for 7600/- in big shopping days and by far all looks good n fine..
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Mind-blowing purchase,Superb I like it thank you
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Terrific,The techinician was well behaved and gave a good demo of the product
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Worth every penny,value for money
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Best in the market!,very good one... worth buying. got the product for 7999.. v cute look..
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Best in the market!,Very good product .Thanks for the delivery to our area.
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Worth every penny,Very good product. Installation done next day itself from Jeeves.  Highly recommended.
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Wonderful,Very nice
@Home by nilkamal Walton Engineered Wood TV Entertainment Unit,11999,5,Must buy!,Very nice 👌
1170-BL-BR Unique New Day & Date Analog Watch  - For Men,299,4,Nan,All things are good but only one issue. Date adjustment is not up to date
1170-BL-BR Unique New Day & Date Analog Watch  - For Men,299,5,Nan,Amazing product for an amazing price
